lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 4 - min val loss: 1.2148799697558086
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 8 - min val loss: 1.1576735178629558
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 16 - min val loss: 1.118367314338684
lr: 0.005, hidden_size: 32, layer_num: 1, train_batch_size: 32 - min val loss: 1.1283902525901794
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 4 - min val loss: 1.1381370822588603
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 8 - min val loss: 1.086265762646993
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 16 - min val loss: 0.9746739367643992
lr: 0.005, hidden_size: 32, layer_num: 2, train_batch_size: 32 - min val loss: 1.0129545331001282
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 4 - min val loss: 1.1376234889030457
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 8 - min val loss: 1.1093119978904724
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 16 - min val loss: 1.0192461212476094
lr: 0.005, hidden_size: 32, layer_num: 3, train_batch_size: 32 - min val loss: 1.0382221639156342
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 4 - min val loss: 1.2338192860285442
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 8 - min val loss: 1.1368884046872456
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 16 - min val loss: 1.1185495058695476
lr: 0.005, hidden_size: 32, layer_num: 4, train_batch_size: 32 - min val loss: 0.9844582776228586
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 4 - min val loss: 1.2411205569903057
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 8 - min val loss: 1.1782208879788716
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 16 - min val loss: 1.1120889981587727
lr: 0.005, hidden_size: 64, layer_num: 1, train_batch_size: 32 - min val loss: 1.032922049363454
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 4 - min val loss: 1.1285174290339153
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 8 - min val loss: 1.0610962808132172
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 16 - min val loss: 1.0107894440491993
lr: 0.005, hidden_size: 64, layer_num: 2, train_batch_size: 32 - min val loss: 1.0000941852728527
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 4 - min val loss: 1.13354488213857
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 8 - min val loss: 1.0805770059426625
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 16 - min val loss: 1.027336557706197
lr: 0.005, hidden_size: 64, layer_num: 3, train_batch_size: 32 - min val loss: 0.990652451912562
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 4 - min val loss: 1.163758635520935
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 8 - min val loss: 1.114358087380727
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 16 - min val loss: 1.1012251377105713
lr: 0.005, hidden_size: 64, layer_num: 4, train_batch_size: 32 - min val loss: 1.0783658027648926
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 4 - min val loss: 1.145314912001292
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 8 - min val loss: 1.157290776570638
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 16 - min val loss: 1.0776536067326863
lr: 0.005, hidden_size: 128, layer_num: 1, train_batch_size: 32 - min val loss: 1.0219956735769908
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 4 - min val loss: 1.1322532892227173
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 8 - min val loss: 1.035848339398702
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 16 - min val loss: 0.983067144950231
lr: 0.005, hidden_size: 128, layer_num: 2, train_batch_size: 32 - min val loss: 0.9963303208351135
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 4 - min val loss: 1.0926140149434407
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 8 - min val loss: 1.0533751547336578
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 16 - min val loss: 1.0611426730950673
lr: 0.005, hidden_size: 128, layer_num: 3, train_batch_size: 32 - min val loss: 0.9902568956216177
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 4 - min val loss: 1.17837256193161
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 8 - min val loss: 1.1211042801539104
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 16 - min val loss: 1.0531088610490162
lr: 0.005, hidden_size: 128, layer_num: 4, train_batch_size: 32 - min val loss: 1.0928372542063396
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 4 - min val loss: 1.1815900603930156
lr: 0.005, hidden_size: 256, layer_num: 1, train_batch_size: 8 - min val loss: 1.1558084686597188
