mae: 4.715727633610338: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.278477350253953: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.096344954476552: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 3.9290077738507856: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4620681731507563: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.3276371686824247: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.6472006319180017: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.267065734047543: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.248442463462707: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.719032258179398: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.271717573802447: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
