mae: 5.009144400135472: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.6435917693435815: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.482614293323202: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.486822436476343: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.989870451097876: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.8671296047753803: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.2156211051243915: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.7860064967446365: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7407504091479478: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.030838329299149: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.64811048551253: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.513391444010168: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.502272307946983: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9865102519483218: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.87729435416931: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.215903251201374: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.7905144649080476: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7832947999332935: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.0347137496353636: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.632041515788591: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.458504125165789: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.513131788108678: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 4.00224191564029: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.879126605990247: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.194301396154897: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.8041603109138613: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.757607449262392: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.027155211089606: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.6569721861600355: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.479050822388684: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.476402741799272: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.9689234043210466: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.879254405334085: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.2045372599570054: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.786976064272132: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.7793909563379464: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 5.076374909112348: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.662395904767541: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.452595179271213: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.463988524110116: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 4.020240159088314: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.8995463230662133: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 4.226608818189744: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.807029908683944: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
